Site,Latitude,Longitude,State,County,Northing,Easting,200m_open_water,200m_developed,200m_forest,200m_earlysuccessional,200m_wetlands,1000m_open,1000m_developed,1000m_forest,1000m_earlysuccessional,1000m_wetlands
Taber,38.8665,-75.7229,Delaware,Kent.DE,4302210.39,437285,0,0.034482759,0.165517241,0.262068966,0.537931034,0,0.055510064,0.101880902,0.520804007,0.31585533
Takoma_Park,38.9838,-77.0029,Maryland,Montgomery,4316886.86,326518.39,0,0.715277778,0.284722222,0,0,0,0.812478168,0.187521832,0,0
Tuckahoe_Archery_Range,38.9715,-75.9489,Maryland,Caroline,4314042.04,417799.34,0,0.096551724,0,0.434482759,0.468965517,0.025987558,0.04448837,0.012218443,0.677472342,0.234838037
Tuckahoe_Valley_Trail,38.9457,-75.9396,Maryland,Caroline,4311170.57,418575.46,0,0.096551724,0.15862069,0.744827586,0,0,0.070289988,0.230825823,0.422720863,0.262706149
Upper_Savage_River,39.6473,-79.0173,Maryland,Garrett,4396330.25,155273.77,0,0,1,0,0,0,0.0151972,0.920768293,0.064034508,0
Webster_Field,38.1327,-76.4334,Maryland,Saint.Marys,4221508.96,374375.28,0.076388889,0.243055556,0.534722222,0.006944444,0.138888889,0.441663589,0.084563513,0.206707361,0.105013918,0.157924299
Wetipquin_Pond,38.3419,-75.8269,Maryland,Wicomico,4244074.14,427738.16,0,0,0.097902098,0,0.902097902,0,0.007870395,0.153241214,0.064012543,0.706048475
Wilder,39.0442,-75.6336,Delaware,Kent.DE,4321872.5,445169.38,0,0.108108108,0.02027027,0.337837838,0.533783784,0,0.05443758,0.113034436,0.310722368,0.514006973
Wolf_Trap_Ephemeral,38.9393,-77.2628,Virginia,Fairfax,4312475.34,303882.06,0,0.121621622,0.837837838,0.040540541,0,0,0.571830304,0.397505843,0.009067433,0.017215869
Wolf_Trap_Ericaceous,38.9402,-77.2627,Virginia,Fairfax,4312575.02,303893.2,0,0.118055556,0.881944444,0,0,0,0.568356469,0.39682491,0.0094179,0.017240586
Wrights_Mill,39.3215,-76.8124,Maryland,Baltimore,4354020.85,343768.61,0,0.034246575,0.623287671,0.342465753,0,0.007174696,0.09568297,0.708737864,0.161262747,0.019967027
Wye_Oak_State_Park,38.9391,-76.0816,Maryland,Caroline,4310574.6,406260.94,0,0.506944444,0.0625,0.159722222,0.270833333,0.021902081,0.12087498,0.061286004,0.686457162,0.105099356
Wynlea_Cecil,39.6953,-75.9078,Maryland,Cecil,4394333.23,422166.54,0,0.159722222,0.3125,0.527777778,0,0,0.123794129,0.25332003,0.578002129,0
